file,base,channel,projection,label,area,mean_intensity,eccentricity,solidity,centroid-0,centroid-1
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,45,399.0,0.26872652769088745,0.9100354388347367,0.4883720930232558,613.2280701754386,337.2055137844612
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,46,484.0,0.29175612330436707,0.8068467844738886,0.5960591133004927,626.9214876033058,771.9462809917355
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,47,222.0,0.25285524129867554,0.7166633104763149,0.6959247648902821,622.0135135135135,539.7477477477478
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,48,804.0,0.25167688727378845,0.840793208170714,0.50853889943074,660.1629353233831,243.71268656716418
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,49,263.0,0.25662165880203247,0.9662993500465695,0.5087040618955513,661.6501901140684,545.6882129277567
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,50,10929.0,0.34402334690093994,0.8938211860721165,0.4962539163601689,747.9567206514777,432.1109891115381
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,51,236.0,0.24910613894462585,0.7316764830306549,0.8280701754385965,675.5847457627119,692.2203389830509
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,52,370.0,0.23936009407043457,0.9553826218130256,0.6928838951310862,712.6810810810811,89.84054054054054
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,53,252.0,0.23536048829555511,0.9104152041312016,0.6885245901639344,710.3055555555555,646.7579365079365
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,54,213.0,0.23952727019786835,0.8574693392573257,0.5649867374005305,715.0516431924883,251.44131455399062
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,55,238.0,0.23227347433567047,0.8374810268027403,0.5979899497487438,729.2605042016806,789.6302521008404
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,56,606.0,0.24610845744609833,0.9444229986135733,0.6733333333333333,744.9422442244224,863.5297029702971
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,57,509.0,0.22354935109615326,0.7167294582848796,0.551462621885157,741.1237721021611,685.7583497053046
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,58,206.0,0.23591500520706177,0.47588661824144446,0.5628415300546448,759.2669902912621,747.5533980582525
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,59,349.0,0.4023336172103882,0.9082445615141237,0.87468671679198,776.9598853868195,220.26934097421204
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,60,278.0,0.2252802699804306,0.8642995071733397,0.7853107344632768,784.7913669064748,15.622302158273381
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,61,610.0,0.287328839302063,0.9002012321442084,0.7448107448107448,798.5901639344262,61.91967213114754
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,62,223.0,0.3402533531188965,0.7921186630559593,0.8383458646616542,792.0762331838565,576.6278026905829
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,63,403.0,0.3590712547302246,0.7794246277822527,0.8191056910569106,803.3325062034739,239.66749379652606
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,64,3650.0,0.27643415331840515,0.49136788260458186,0.5073672504865165,841.0646575342465,983.9205479452055
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,65,546.0,0.28307411074638367,0.688017865434434,0.7844827586206896,810.7014652014652,97.32417582417582
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,66,341.0,0.2711646258831024,0.9081341643669271,0.7494505494505495,837.4809384164223,273.90615835777123
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,67,896.0,0.2600061595439911,0.7987867142441687,0.5410628019323671,875.9977678571429,827.796875
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,68,1593.0,0.300711989402771,0.8752691875168835,0.6842783505154639,935.390458254865,713.5279347143754
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,69,231.0,0.2637878656387329,0.8784040097824447,0.8162544169611308,941.922077922078,559.3290043290043
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,70,614.0,0.33239641785621643,0.7315652801733482,0.883453237410072,949.1938110749186,800.0065146579805
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,71,460.0,0.30082809925079346,0.9140093854080986,0.749185667752443,954.4934782608696,833.2173913043479
